ServiceID,ResponseTime(ms),Availability(%),ReliabilityScore,Usability(%),Credibility(%),Certification,CostSatisfaction(%),Prestige(1-5),Security(%),TrustIndex
S1,291,99.5,0.965,73.78,82.94,1,78.65,5,70.89,0.7774
S1,376,97.16,0.966,94.33,79.08,1,82.77,1,88.39,0.6637
S1,260,99.54,0.883,76.09,98.41,1,61.87,1,75.38,0.6479
S1,559,98.89,0.945,61.65,79.74,1,96.58,4,98.4,0.6752
S1,413,98.47,0.889,62.68,87.43,1,58.85,4,99.9,0.662
S1,121,99.67,0.948,98.86,70.27,1,85.6,5,97.6,0.9023
S1,352,99.54,0.999,84.88,95.1,1,95.32,2,77.96,0.7235
S1,847,97.89,0.852,79.64,70.88,0,66.51,1,83.0,0.146
S1,956,99.37,0.927,94.79,87.08,1,92.57,5,80.39,0.4515
S1,660,97.3,0.876,88.68,92.22,1,79.53,3,81.82,0.5033
S1,574,99.47,0.91,67.26,81.9,1,65.22,1,94.72,0.5377
S1,158,99.03,0.975,60.29,70.95,1,86.58,5,81.33,0.7354
S1,610,97.26,0.87,99.29,97.02,0,70.65,1,97.1,0.5622
S1,781,99.05,0.814,85.17,80.98,1,60.1,2,71.89,0.2933
S1,575,98.74,0.96,79.08,83.98,1,95.85,2,82.33,0.6726
S1,799,98.78,0.911,97.79,94.39,1,75.22,1,70.23,0.3653
S1,882,97.87,0.89,74.77,89.82,0,89.66,1,80.74,0.3243
S1,289,97.8,0.837,88.9,79.76,1,97.32,3,79.5,0.7755
S1,786,99.29,0.819,86.8,86.22,1,86.7,3,92.0,0.4062
S1,662,97.77,0.856,87.08,72.82,1,73.49,5,84.36,0.4142
S1,975,98.34,0.944,87.09,84.44,1,92.86,3,81.89,0.4053
S1,666,99.08,0.882,60.42,82.85,0,79.43,5,86.9,0.4574
S1,343,97.24,0.914,92.97,92.8,1,55.03,5,70.81,0.5673
S1,931,98.78,0.816,96.92,94.0,1,80.59,3,93.27,0.2906
S1,604,98.77,0.825,77.97,96.17,0,50.27,1,79.88,0.4142
S1,230,99.05,0.802,82.42,95.72,1,98.79,4,85.12,0.8602
S1,584,98.11,0.935,72.99,99.95,0,76.04,5,98.19,0.5346
S1,918,98.35,0.853,91.4,91.22,1,54.61,3,97.69,0.3714
S1,746,97.99,0.993,89.46,88.62,1,64.98,3,92.82,0.523
S1,120,99.42,0.862,89.54,74.42,1,82.94,1,84.79,0.7353
S1,940,97.39,0.873,89.4,84.04,1,64.44,1,87.2,0.2534
S1,266,99.89,0.894,68.74,82.91,0,71.05,2,74.35,0.5077
S1,373,98.9,0.864,64.5,92.04,1,64.94,2,96.05,0.525
S1,487,99.66,0.963,72.43,78.24,1,81.45,3,74.83,0.63
S1,700,98.28,0.975,83.02,96.13,0,64.2,3,92.63,0.3541
S1,415,98.0,0.802,75.98,76.59,1,90.65,4,97.07,0.6953
S1,113,99.7,0.931,69.97,84.51,1,86.23,4,71.73,0.7344
S1,341,97.3,0.937,60.89,98.33,1,66.26,1,94.54,0.6193
S1,876,97.35,0.992,64.85,80.32,1,81.22,3,86.48,0.3764
S1,445,97.9,0.874,64.21,91.84,1,74.26,3,88.73,0.6232
S1,664,99.88,0.839,98.27,80.07,1,52.7,3,86.18,0.3926
S1,997,98.9,0.904,91.15,85.43,1,70.75,4,92.43,0.2771
S1,439,98.66,0.89,64.91,93.27,1,56.57,5,95.25,0.6256
S1,191,99.12,0.958,78.69,94.44,1,55.95,5,70.78,0.743
S1,466,98.25,0.981,86.18,95.27,1,57.99,2,84.12,0.5601
S1,554,99.27,0.817,98.44,72.99,1,71.43,5,71.0,0.3963
S1,527,98.18,0.969,70.76,95.65,1,95.86,2,78.35,0.6966
S1,608,99.48,0.982,70.56,74.39,1,88.58,5,95.75,0.566
S1,875,97.8,0.985,82.73,78.18,1,92.66,2,73.82,0.412
S1,134,97.83,0.953,94.3,99.13,1,86.79,1,83.27,0.9115
S1,305,98.57,0.948,71.18,74.33,1,98.48,1,95.56,0.7416
S1,180,98.29,0.803,65.03,77.53,1,87.04,4,96.5,0.7764
S1,661,98.94,0.984,70.65,80.07,1,89.54,4,78.31,0.5937
S1,971,98.09,0.87,77.96,94.19,1,90.66,3,93.46,0.428
S1,487,97.69,0.808,74.4,79.63,1,84.43,1,74.22,0.5862
S1,101,98.41,0.883,94.45,94.78,1,60.2,4,85.26,0.8009
S1,489,98.68,0.947,97.72,76.17,1,98.55,2,88.21,0.7193
S1,665,97.43,0.888,75.14,88.03,1,74.04,1,85.43,0.3477
S1,205,98.67,0.952,92.94,98.79,1,91.47,1,83.97,0.8652
S1,871,97.96,0.902,62.74,71.23,1,89.94,2,89.24,0.3187
S1,921,98.18,0.86,82.15,97.26,1,71.38,2,70.57,0.2716
S1,576,97.84,0.841,93.27,74.95,1,91.98,1,73.83,0.5497
S1,802,99.79,0.884,76.74,87.43,0,62.42,3,77.1,0.3126
S1,501,99.05,0.807,65.74,71.46,0,67.72,1,92.58,0.4488
S1,829,97.79,0.885,71.36,87.14,0,61.45,1,76.12,0.2517
S1,655,98.94,0.814,79.68,88.45,1,52.86,3,85.4,0.386
S1,261,99.55,0.975,93.74,94.23,0,61.74,1,72.84,0.5728
S1,301,98.2,0.915,89.94,82.48,1,82.43,2,83.75,0.7475
S1,369,99.49,0.929,63.34,97.47,1,88.08,5,90.74,0.7455
S1,962,97.46,0.858,81.85,81.11,1,67.57,2,79.18,0.2724
S1,915,99.47,0.845,94.89,72.75,0,86.87,3,72.85,0.3371
S1,370,98.62,0.942,83.08,81.6,0,50.35,3,86.5,0.4003
S1,555,97.67,0.934,62.6,79.19,0,87.96,3,77.12,0.5151
S1,561,98.22,0.825,92.92,83.39,1,91.99,1,80.22,0.5306
S1,826,99.96,0.848,96.27,75.99,0,99.6,3,93.47,0.4514
S1,351,99.35,0.989,75.57,81.11,1,94.72,2,85.64,0.7609
S1,801,98.73,0.861,72.41,96.59,1,84.56,2,73.66,0.3918
S1,395,97.35,0.805,81.73,89.57,1,67.35,3,72.18,0.6007
S1,824,98.25,0.813,99.36,75.94,0,64.22,5,78.93,0.2717
S1,819,97.79,0.955,93.5,71.59,1,55.85,3,97.18,0.4059
S1,848,97.21,0.951,92.44,76.5,1,64.34,2,94.8,0.455
S1,437,98.63,0.876,67.73,82.28,0,65.26,1,76.21,0.3344
S1,978,99.67,0.831,95.81,81.01,1,85.69,4,72.29,0.3285
S1,152,99.03,0.9,82.24,95.45,1,86.32,4,88.62,0.906
S1,891,97.75,0.866,96.68,87.58,1,76.05,5,97.22,0.4084
S1,316,98.72,0.875,86.07,95.27,0,88.61,2,92.96,0.661
S1,863,99.83,0.852,93.37,99.97,1,67.11,3,77.25,0.3006
S1,287,99.17,0.813,66.62,78.71,1,73.54,2,88.01,0.5433
S1,479,99.07,0.958,88.26,84.32,1,52.42,1,73.43,0.5356
S1,592,99.9,0.924,70.29,91.17,0,76.83,4,84.17,0.4177
S1,140,99.4,0.967,66.76,85.35,0,69.38,1,89.78,0.7006
S1,256,97.41,0.901,82.96,79.8,0,53.33,2,88.07,0.5664
S1,114,98.04,0.997,84.11,94.49,1,54.64,4,90.87,0.8506
S1,912,99.9,0.993,79.62,96.77,1,82.87,3,84.95,0.432
S1,164,98.47,0.854,63.56,78.35,1,87.17,2,79.79,0.7404
S1,956,97.33,0.877,69.79,78.44,1,54.92,3,89.67,0.3099
S1,938,98.38,0.951,69.42,87.02,1,88.74,4,79.23,0.2838
S1,620,99.09,0.955,72.55,94.49,1,93.18,2,94.6,0.6694
S1,443,99.99,0.982,85.12,85.6,1,78.31,4,89.61,0.6579
S1,228,97.97,0.931,77.52,71.8,0,74.44,4,84.22,0.5634
S1,747,98.54,0.895,98.74,78.85,1,73.0,2,91.77,0.4713
S1,571,99.64,0.876,60.63,85.09,0,64.83,5,89.01,0.4518
S1,162,98.07,0.884,68.64,92.1,1,94.86,1,71.04,0.803
S1,238,97.33,0.97,82.94,93.25,1,93.44,3,87.11,0.8648
S1,598,99.85,0.996,95.17,92.57,1,75.58,4,74.68,0.6081
S1,692,98.47,0.81,61.36,72.84,1,62.12,4,90.68,0.4254
S1,491,98.51,0.916,95.34,88.48,0,95.51,2,84.65,0.5668
S1,774,98.86,0.904,80.29,82.76,1,86.57,3,77.54,0.4138
S1,518,97.01,0.875,91.42,79.41,0,91.14,1,97.61,0.615
S1,388,99.79,0.97,97.95,94.83,1,91.39,5,81.26,0.7553
S1,478,98.08,0.915,68.62,80.75,1,59.44,4,94.44,0.5973
S1,872,98.19,0.863,83.52,75.48,1,52.7,2,95.25,0.2683
S1,589,97.52,0.889,95.35,90.87,0,75.26,4,80.53,0.528
S1,330,98.13,0.871,93.78,74.07,1,73.3,4,71.83,0.6215
S1,140,99.41,0.886,80.84,78.82,1,66.07,5,77.72,0.8003
S1,127,99.4,0.814,97.98,83.33,1,86.17,3,92.94,0.8215
S1,234,99.81,0.822,88.34,74.25,0,80.34,5,76.78,0.6108
S1,300,98.21,0.925,80.96,78.62,1,69.26,5,90.55,0.6545
S1,939,99.13,0.937,62.32,89.25,0,74.41,1,78.2,0.2163
S1,879,98.52,0.927,79.49,86.72,1,76.97,4,86.76,0.3512
S1,132,99.41,0.953,76.88,95.33,0,97.04,5,93.61,0.8443
S1,147,99.14,0.989,72.21,74.23,1,75.89,4,98.23,0.8037
S1,602,98.1,0.972,97.72,95.92,1,82.73,3,75.49,0.5868
S1,506,98.01,0.884,97.03,72.27,1,95.5,2,83.26,0.6436
S1,673,97.76,0.844,73.49,92.3,1,85.84,4,87.88,0.5315
S1,827,98.73,0.862,77.43,76.21,1,77.22,3,71.7,0.2868
S1,904,99.89,0.918,90.07,97.09,1,70.08,3,93.21,0.4257
S1,198,97.6,0.971,93.4,71.25,0,55.61,4,82.84,0.6449
S1,783,97.29,0.94,64.4,87.41,1,89.3,1,83.79,0.3844
S1,971,97.36,0.909,79.63,70.38,1,89.36,5,99.92,0.465
S1,825,99.35,0.92,96.58,92.08,1,98.6,5,79.94,0.5356
S1,646,98.05,0.906,86.58,71.01,1,75.57,5,85.37,0.5196
S1,838,97.67,0.994,81.72,91.81,0,85.09,1,99.72,0.4354
S1,712,98.06,0.963,88.72,94.26,0,98.9,4,88.67,0.4782
S1,561,98.94,0.956,86.46,96.87,1,80.61,5,82.57,0.6331
S1,742,98.64,0.903,97.69,80.78,1,91.23,4,86.61,0.5685
S1,868,99.23,0.866,96.51,86.28,1,70.54,1,70.74,0.3644
S1,104,98.02,0.804,75.91,92.01,1,59.32,2,82.19,0.6682
S1,317,98.36,0.809,61.28,94.62,1,92.15,1,73.63,0.6337
S1,602,97.31,0.806,73.31,93.49,0,71.52,1,84.3,0.3403
S1,866,97.22,0.996,68.12,95.43,1,87.19,3,79.73,0.435
S1,497,98.39,0.823,65.26,96.93,0,76.3,2,90.36,0.5317
S1,970,97.9,0.828,95.52,89.51,1,72.85,3,97.81,0.3707
S1,894,98.84,0.897,88.4,75.22,1,52.58,3,77.81,0.208
S1,492,97.13,0.896,61.3,95.0,0,88.45,4,97.67,0.6896
S1,306,97.37,0.984,96.79,83.9,1,66.06,5,71.59,0.7263
S1,114,99.6,0.815,96.12,71.52,1,69.55,5,77.12,0.7154
S1,957,98.7,0.991,97.98,88.78,0,67.48,3,74.47,0.2869
S1,653,99.14,0.843,93.2,91.82,1,84.71,1,91.52,0.5144
S1,991,99.53,0.994,63.16,83.74,1,85.66,4,84.42,0.339
S1,560,98.39,0.908,84.91,85.2,0,90.77,3,73.34,0.5005
S1,790,99.28,0.93,63.32,86.5,1,83.83,4,96.78,0.4275
S1,674,98.57,0.863,88.54,77.57,0,95.38,1,75.83,0.4756
S1,963,97.67,0.922,67.88,81.22,1,62.07,1,76.16,0.2093
S1,842,98.01,0.942,97.43,94.21,1,74.75,1,97.58,0.4738
S1,340,98.47,0.802,97.37,70.9,0,98.45,4,84.37,0.6796
S1,663,97.95,0.807,83.78,86.71,1,62.47,2,91.62,0.4637
S1,195,98.01,0.997,90.11,70.95,1,86.27,1,86.84,0.8568
S1,999,98.01,0.892,94.33,76.05,0,65.7,2,97.3,0.2988
S1,833,97.37,0.987,75.57,81.19,1,72.82,3,99.85,0.4349
S1,584,97.25,0.946,83.17,75.59,1,76.9,2,72.35,0.4989
S1,506,97.14,0.875,67.04,95.46,1,89.98,4,78.42,0.6475
S1,330,97.33,0.83,99.42,96.11,1,80.99,2,86.01,0.695
S1,848,98.03,0.996,97.18,74.59,0,50.05,4,92.11,0.2265
S1,754,98.78,0.917,79.34,96.77,1,66.83,5,85.0,0.3699
S1,270,97.56,0.838,82.13,76.9,1,67.29,1,73.16,0.5571
S1,640,99.66,0.936,77.47,70.36,0,74.51,2,94.57,0.4279
S1,135,99.43,0.818,60.07,92.11,1,95.35,1,74.17,0.7749
S1,624,98.56,0.974,69.2,85.55,1,95.66,3,84.49,0.6756
S1,259,99.17,0.818,64.07,84.95,1,72.99,2,83.48,0.5714
S1,938,98.1,0.847,72.92,70.08,1,86.28,5,84.95,0.3141
S1,798,97.11,0.818,69.45,99.36,0,67.69,3,74.16,0.2964
S1,342,99.71,0.821,90.47,94.98,0,64.37,5,74.92,0.5407
S1,185,97.38,0.905,80.19,99.02,1,73.13,3,90.96,0.7704
S1,895,99.84,0.937,92.68,77.31,1,92.32,4,77.89,0.4429
S1,677,98.72,0.958,85.43,88.11,1,76.05,4,77.6,0.4556
S1,781,97.92,0.939,86.25,92.4,1,73.62,4,82.17,0.4019
S1,656,98.49,0.873,95.05,94.1,0,57.88,1,78.38,0.3543
S1,673,98.5,0.911,93.89,93.45,1,87.14,4,99.13,0.7164
S1,745,97.07,0.986,62.53,87.17,1,68.11,1,90.72,0.518
S1,895,98.07,0.878,83.13,70.95,1,87.77,2,92.27,0.4708
S1,127,99.22,0.85,76.52,99.82,0,98.53,3,97.3,0.8564
S1,719,98.53,0.904,83.99,73.45,1,54.54,5,72.9,0.3104
S1,655,97.73,0.859,94.51,75.42,1,93.11,3,82.81,0.5321
S1,439,98.01,0.852,60.48,94.73,1,58.35,3,88.15,0.5387
S1,897,99.59,0.956,60.44,73.02,1,93.45,2,93.13,0.3836
S1,430,98.58,0.978,62.5,76.4,1,86.36,4,98.93,0.7106
S1,739,98.59,0.9,95.0,70.61,0,71.09,1,90.74,0.3217
S1,605,99.88,0.956,74.14,74.7,0,72.8,3,97.55,0.411
S1,447,97.96,0.837,74.85,89.77,0,64.55,3,99.46,0.5871
S1,572,98.44,0.91,73.82,80.82,0,84.96,3,90.62,0.5287
S1,330,99.44,0.927,69.24,74.05,1,94.84,5,91.44,0.7277
S1,289,99.28,0.898,61.55,77.92,0,79.14,1,99.37,0.6593
S1,324,97.8,0.823,96.26,92.61,1,64.69,3,93.39,0.6401
S1,484,97.45,0.947,69.31,86.71,0,85.86,5,94.25,0.6202
S1,476,99.1,0.968,95.76,84.28,1,62.69,2,72.64,0.5992
S1,382,97.77,0.927,98.23,71.4,1,63.29,4,99.52,0.6313
S1,732,99.77,0.834,83.07,85.35,1,81.89,2,85.5,0.4154
S1,727,97.39,0.815,74.89,84.45,0,54.74,1,95.87,0.3256
S1,844,97.95,0.86,90.63,83.29,1,69.8,3,95.12,0.4264
S1,358,97.16,0.807,61.02,84.62,1,68.42,3,90.69,0.6001
S1,458,99.11,0.968,97.15,72.23,0,52.65,5,89.31,0.5352
S1,809,99.67,0.941,76.32,97.99,1,95.9,3,99.14,0.5421
S1,555,98.91,0.913,72.34,79.18,0,96.88,3,70.18,0.4207
S1,510,99.81,0.978,65.08,89.58,0,69.87,3,86.0,0.557
S1,748,97.39,0.822,98.21,80.77,1,68.47,4,91.14,0.4496
S1,417,97.26,0.943,92.44,79.84,1,56.08,4,72.34,0.604
S1,776,99.52,0.829,88.96,91.75,1,78.13,1,81.53,0.3966
S1,324,99.57,0.812,97.24,82.56,1,67.38,1,91.48,0.6951
S1,918,99.49,0.827,98.39,88.48,1,92.14,4,70.67,0.4252
S1,333,99.4,0.99,70.74,78.23,1,86.66,4,97.47,0.783
S1,783,98.09,0.888,91.46,77.96,1,56.16,2,84.0,0.2498
S1,763,97.65,0.81,90.68,75.97,1,60.73,1,75.59,0.3686
S1,926,99.79,0.917,82.29,79.03,1,55.91,5,84.91,0.2744
S1,473,97.92,0.84,66.02,71.95,1,56.78,4,71.75,0.4245
S1,771,98.2,0.801,97.61,72.33,1,53.35,4,78.87,0.3374
S1,707,99.1,0.952,72.62,95.59,0,68.3,3,99.89,0.4939
S1,571,97.88,0.831,83.16,78.4,1,80.29,1,85.92,0.6505
S1,332,99.46,0.988,60.78,86.15,1,98.16,4,72.46,0.7061
S1,791,97.21,0.919,77.17,84.89,1,71.22,1,93.6,0.4677
S1,212,99.37,0.817,84.68,89.03,0,97.59,3,72.24,0.787
S1,929,98.81,0.844,75.24,89.44,1,54.75,1,83.25,0.1698
S1,596,98.72,0.922,79.08,81.0,0,58.16,1,97.41,0.4075
S1,541,98.38,0.868,67.68,74.0,1,70.1,1,70.86,0.4828
S1,663,97.83,0.906,74.01,75.32,1,69.68,1,98.45,0.412
S1,367,98.39,0.96,88.93,80.78,1,50.86,5,80.72,0.6329
S1,609,98.35,0.959,98.79,86.8,0,52.96,1,71.39,0.3207
S1,906,98.75,0.94,78.75,88.43,1,66.29,5,85.84,0.3134
S1,485,97.84,0.977,87.44,97.97,0,65.67,4,92.62,0.5304
S1,486,97.23,0.84,99.05,79.16,1,64.3,4,78.25,0.5684
S1,212,97.44,0.835,90.99,73.28,1,76.16,5,82.02,0.6611
S1,712,99.1,0.96,60.41,86.13,0,59.93,4,98.19,0.4102
S1,724,97.07,0.864,97.42,72.0,1,75.31,2,91.48,0.4511
S1,180,99.57,0.902,94.66,74.97,0,52.54,3,96.63,0.6311
S1,798,99.08,0.949,70.84,86.62,1,74.89,3,99.12,0.5578
S1,212,99.3,0.879,67.26,97.73,1,87.41,3,70.43,0.7515
S1,101,99.51,0.826,95.97,75.87,1,96.14,3,85.3,0.8073
S1,741,97.37,0.936,87.55,80.87,1,94.76,4,71.74,0.4921
S1,319,99.47,0.963,69.48,83.29,1,82.35,3,90.65,0.7521
S1,665,98.51,0.803,88.56,98.6,0,99.12,1,71.8,0.4613
S1,954,99.66,0.913,84.01,92.07,0,68.32,5,73.6,0.2699
S1,835,99.66,0.894,72.37,79.96,1,84.66,4,88.94,0.4892
S1,324,97.07,0.852,82.27,78.14,1,99.46,3,71.5,0.6743
S1,484,98.15,0.832,81.09,85.56,1,84.74,4,95.73,0.6367
S1,502,98.58,0.838,80.39,81.44,0,62.95,3,72.42,0.4358
S1,737,99.04,0.945,80.69,88.5,0,90.64,2,91.0,0.5072
S1,229,97.86,0.907,60.02,86.04,0,67.52,2,98.34,0.7045
S1,152,97.76,0.996,70.75,71.01,0,64.1,4,95.31,0.6777
S1,783,98.14,0.849,77.23,72.23,1,91.37,2,86.64,0.4052
S1,829,98.5,0.991,65.09,74.02,1,70.06,1,96.13,0.3552
S1,771,99.85,0.903,89.97,89.52,0,82.28,1,98.4,0.5096
S1,809,99.29,0.829,93.88,99.32,1,93.39,5,80.76,0.4449
S1,515,98.29,0.83,92.71,83.58,1,57.63,2,96.56,0.4954
S1,346,97.16,0.922,78.39,74.48,0,80.75,4,85.39,0.6457
S1,935,97.51,0.966,87.63,88.3,1,58.99,4,98.87,0.3543
S1,538,98.37,0.95,63.08,88.76,0,80.19,2,92.69,0.5864
S1,302,99.44,0.931,67.98,92.67,1,74.53,5,81.59,0.6843
S1,283,98.14,0.834,61.88,91.29,0,93.66,3,90.57,0.6727
S1,222,98.62,0.822,98.62,90.64,0,95.04,3,81.97,0.7504
S1,500,99.68,0.8,82.97,91.75,0,88.52,3,94.0,0.5697
S1,866,99.74,0.82,67.01,94.58,1,81.43,5,99.59,0.4552
S1,393,97.65,0.953,88.3,96.86,1,64.15,2,87.46,0.7357
S1,379,97.13,0.979,79.57,70.1,0,74.39,4,70.02,0.4795
S1,936,97.92,0.848,77.37,89.99,0,57.73,5,81.78,0.1528
S1,983,99.09,0.959,96.54,98.24,0,50.4,5,83.87,0.3119
S1,709,99.85,0.84,88.33,92.74,1,78.35,1,96.29,0.4647
S1,297,97.23,0.85,87.63,72.44,0,63.11,1,92.88,0.5157
S1,610,97.09,0.845,63.89,92.09,1,63.97,2,73.49,0.3807
S1,851,99.65,0.81,63.68,77.58,0,58.92,4,77.82,0.2228
S1,243,99.24,0.839,86.58,75.52,1,53.88,3,78.29,0.5778
S1,708,99.98,0.875,66.26,76.1,1,62.44,3,82.15,0.4214
S1,300,98.19,0.881,78.13,99.16,1,61.73,3,90.46,0.5913
S1,223,98.25,0.862,82.79,89.77,1,70.63,3,92.82,0.6783
S1,286,97.52,0.903,75.52,99.34,0,53.81,2,83.05,0.4966
S1,425,97.35,0.876,63.41,95.42,0,73.2,2,98.65,0.5614
S1,563,98.74,0.994,89.73,97.75,1,52.76,1,87.8,0.4448
S1,448,98.09,0.961,95.4,86.65,0,59.79,3,82.9,0.5507
S1,870,97.24,0.986,66.47,80.46,1,92.16,3,75.32,0.428
S1,759,99.66,0.911,94.16,92.16,0,53.19,4,96.71,0.2097
S1,863,97.6,0.936,91.55,70.54,0,55.24,3,94.7,0.312
S1,502,99.25,0.833,82.55,89.31,1,79.22,2,72.77,0.4995
S1,445,97.85,0.951,83.84,98.69,1,63.14,1,85.46,0.6261
S1,610,99.44,0.847,86.06,95.38,0,88.67,5,90.48,0.6003
S1,246,97.36,0.829,80.99,75.68,1,71.36,3,97.45,0.7105
S1,247,99.27,0.808,93.77,73.84,1,78.64,3,73.06,0.6068
S1,963,97.29,0.894,78.96,94.79,0,55.53,5,99.21,0.2377
S1,810,98.34,0.857,81.88,71.6,0,84.87,5,92.91,0.3887
S1,919,99.2,0.997,61.47,99.86,0,97.34,4,83.87,0.5085
S1,588,97.52,0.85,67.2,84.02,0,98.03,2,82.57,0.5879
S1,739,97.86,0.973,96.15,97.83,1,82.47,3,76.98,0.5985
S1,650,99.59,0.863,64.86,94.34,1,54.12,5,77.13,0.43
S1,437,99.66,0.95,96.16,90.92,1,92.94,1,84.77,0.7401
S1,971,97.13,0.932,85.44,76.17,1,99.67,5,88.72,0.4769
S1,740,97.5,0.912,96.8,72.57,0,56.73,5,76.58,0.19
S1,878,97.35,0.883,92.57,89.67,1,91.45,2,82.51,0.3419
S1,572,97.54,0.934,94.61,75.69,1,57.78,3,80.39,0.5238
S1,250,99.91,0.881,80.98,94.86,0,72.37,5,93.25,0.7227
S1,514,98.65,0.91,93.01,72.01,1,96.24,5,87.33,0.6411
S1,397,98.4,0.918,78.42,85.72,1,96.6,3,72.62,0.6026
S1,710,99.95,0.853,61.77,82.66,1,77.63,2,87.39,0.4636
S1,362,98.67,0.868,86.05,97.75,1,96.82,3,99.54,0.7196
S1,863,98.98,0.804,89.14,96.96,0,51.89,2,74.95,0.1506
S1,243,98.0,0.97,64.06,91.61,1,84.31,4,81.28,0.7455
S1,445,98.15,0.951,92.64,92.66,0,71.41,3,76.7,0.5109
S1,723,98.78,0.837,63.01,91.2,0,77.69,4,71.79,0.3122
S1,671,97.21,0.872,77.66,90.24,0,59.68,2,77.0,0.3921
S1,980,97.77,0.884,79.52,99.91,1,60.09,5,90.45,0.3122
S1,101,97.59,0.867,61.47,92.08,1,86.47,1,78.26,0.7672
S1,996,97.05,0.96,62.63,98.37,0,88.4,2,91.64,0.3446
S1,403,98.61,0.945,78.03,83.12,1,82.02,5,83.38,0.617
S1,353,98.68,0.953,72.45,99.94,0,67.28,1,76.17,0.5657
S1,751,98.15,0.981,92.64,88.43,1,85.3,4,93.74,0.5374
S1,552,97.81,0.919,76.55,97.15,1,75.9,5,87.57,0.591
S1,136,98.96,0.923,64.22,72.73,0,85.05,3,83.71,0.6948
S1,259,97.4,0.944,66.32,88.32,0,60.77,3,82.03,0.5723
S1,108,98.56,0.936,86.94,99.78,0,74.59,3,74.22,0.7687
S1,332,99.3,0.974,98.0,72.0,1,56.29,5,71.48,0.6668
S1,198,97.49,0.954,94.78,98.41,1,98.12,2,95.4,0.9169
S1,758,99.26,0.824,65.18,74.38,0,99.68,4,80.43,0.3777
S1,915,99.28,0.986,60.65,99.88,1,71.46,5,84.82,0.4413
S1,307,97.18,0.937,61.06,78.67,1,69.81,1,87.28,0.6865
S1,230,97.06,0.825,82.19,93.81,1,71.39,5,76.22,0.5978
S1,503,99.92,0.954,79.44,70.83,0,59.33,5,78.89,0.4754
S1,251,97.58,0.872,60.54,78.6,1,60.4,4,84.94,0.5924
S1,153,99.47,0.961,62.28,88.1,1,98.75,2,77.14,0.8702
S1,219,98.69,0.991,99.99,76.82,0,66.95,2,94.37,0.7173
S1,772,97.79,0.851,98.6,92.82,1,93.52,2,86.35,0.4548
S1,727,97.39,0.971,65.07,90.27,1,50.38,2,80.86,0.3757
S1,686,98.49,0.955,66.56,99.73,0,79.81,4,80.96,0.4158
S1,724,98.22,0.934,96.01,87.53,1,61.39,1,85.67,0.3992
S1,519,99.1,0.877,80.3,93.04,1,78.5,5,84.84,0.6314
S1,521,99.71,0.822,98.32,72.24,1,83.5,3,79.77,0.5145
S1,203,99.42,0.897,80.81,71.29,1,90.66,2,79.56,0.7703
S1,951,97.82,0.821,83.09,87.45,1,62.26,4,80.73,0.3236
S1,353,99.64,0.9,68.81,99.56,1,81.94,5,82.35,0.7016
S1,326,99.5,0.964,95.04,78.06,1,50.21,2,82.79,0.5503
S1,211,99.79,1.0,93.0,70.05,1,99.96,2,76.89,0.8656
